from,to,value,chain
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,0x76135d845cc090530845a0aa22feb9c772f21303,0.0283736,ethereum
0x76135d845cc090530845a0aa22feb9c772f21303,0x51aa7f7ea3ab9999702a9bb4400154a227f8d945,0.014687606,ethereum
0x416299aade6443e6f6e8ab67126e65a7f606eef5,0x51aa7f7ea3ab9999702a9bb4400154a227f8d945,0.00448755,ethereum
0x76135d845cc090530845a0aa22feb9c772f21303,0x51aa7f7ea3ab9999702a9bb4400154a227f8d945,0.014687606,ethereum
0x76135d845cc090530845a0aa22feb9c772f21303,0x51aa7f7ea3ab9999702a9bb4400154a227f8d945,0.014687606,ethereum
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,0x76135d845cc090530845a0aa22feb9c772f21303,0.0283736,ethereum
0x58ceb94b0adc74a5bcea5980ebe1770f5977b26a,0x88c8cc5afe58fb5cf3644a7ccdd725e681eea95c,0.01,arbitrum
0x58ceb94b0adc74a5bcea5980ebe1770f5977b26a,0x88c8cc5afe58fb5cf3644a7ccdd725e681eea95c,0.01,arbitrum
0x76135d845cc090530845a0aa22feb9c772f21303,0x74229b98c87fb2fbfca57d3757fe55bb757b70ae,0.000438294956726753,arbitrum
0x76135d845cc090530845a0aa22feb9c772f21303,0x182e045dc51135a7d256ab5299fec2d2a1636b0d,5.2326920989181e-05,arbitrum
0x76135d845cc090530845a0aa22feb9c772f21303,0x9e3fc8cab65a41139f96cf258a6cd64d52ce8c80,0.004458427445054367,arbitrum
